"id";"name";"cond";"vat"
"9023454";"Xbox 360 - Tiger Woods PGA Tour 08";"0";"0"
"9023468";"Xbox 360 - WWE: SmackDown! vs. RAW 2009";"0";"0"
"9069557";NULL;"0";"0"
"9054600";"Dreamcast - Tokyo Highway Challenge (Whitelabel) (nur CD mit Anleitung, ohne OVP) (gebraucht)";"1";"2"
"9051896";"N64 - Dual Heroes (mit OVP) (gebraucht)";"1";"2"
"9034589";"Mega Drive - Original Sega Receiver fÃ¼r Sega Menacer (gebraucht)";"1";"2"
"9074552";"Nintendo DS - Konsole Lite #Crimson Red Black (inkl. Netzteil) (2. Wahl / Starke Gebrauchsspuren) (gebraucht)";"1";"2"
"1001129";"GameBoy Advance/DS - Mega Man - Battle Network (mit OVP) (gebraucht)";"1";"2"
"9043447";"Nintendo Wii - Pistole Revolver (House o.t.Dead)";"0";"0"
"9028811";"PC - The Lord Of The Rings Online Shadow Of Angmar Gold Edition";"0";"0"
"9075525";"(unbekannt)";"0";"0"
"5820907";"Nintendo DS - Bangai-O Spirits";"0";"0"
"5805368";"PSP - Wifi Max |PS3|Wii|NDS|PSP|";"0";"0"
"2084995";"Wii - Wii-Fit PLUS (NEU & OVP)";"0";"0"
"9075318";"Wii - Konsole #weiÃŸ Riesiges Set mit viel ZubehÃ¶r 1 (gebraucht)";"1";"2"
"1002687";"GameBoy Advance/DS - Rechargeable Battery Pack mit Netzteil (mit OVP) (gebraucht)";"1";"2"
"2085104";NULL;"0";"0"
"9029660";"SNES - Paper Boy 2 (Modul) (gebraucht) ";"1";"2"
"2088128";"PC - Hearts - Royal Club (NEU & OVP) (Vorbestellung: Erscheint am 01.10.12)";"0";"0"
"9070944";"Playstation 2 - This is Football 2004 (NEU & OVP)";"0";"2"
"9002587";"Playstation 2 - 128 MB Memory Card (NEU & OVP)";"0";"2"
"5829160";"Playstation 2 - Eaxus Singstar 5in1 Adapter (NEU & OVP)";"0";"2"
"9070021";"Nintendo 3DS - Rabbids 3D (gebraucht)";"1";"2"
"9073910";"SNES - Nintendo RGB Scart Kabel groÃŸer Stecker [verschiedene Hersteller] (gebraucht)  ";"1";"0"
"9051237";"Mega Drive - Controller Competition Pro 3 Button (gebraucht)";"1";"2"
"5805772";"NES - Soccer (Modul) (PAL-B) (gebraucht)";"1";"2"
"9007790";"GameBoy Advance/DS - Killer Pool 3D (Modul) (gebraucht)";"1";"2"
"5822146";"PC - Test Drive Unlimited";"0";"0"
"9071900";"Wii - Scarface: The World is Yours (mit OVP) (gebraucht) USK18#1";"1";"2"
"2084052";"Xbox 360 - Hitman Absolution (UK-Import) (NEU & OVP) USK18 (Vorbestellung: Erscheint am 20.11.12)";"0";"0"
"2087303";"PS3 - Lego Herr der Ringe (NEU & OVP) USK18 (Vorbestellung: Erscheint am 26.10.12)";"0";"0"
"9053860";"GameBoy Advance/DS - 3 in 1 - SpongeBob Supersponge / Rugrats - I got Party / Tak: Power of Juju (Modul) (gebraucht)";"0";"2"
"9042845";"N64 - Top Gear Overdrive (mit OVP) (gebraucht)";"1";"2"
"2080432";"DVD - Perrine Komplette Serie (NEU & OVP) (Vorbestellung: Erscheint am 19.03.12)";"0";"0"
"5826914";"Xbox 360 - Original Controller #weiÃŸ";"0";"0"
"4555601";"GameBoy - Disney's Hercules (Modul mit Anl.) (gebraucht)";"1";"2"
"5829885";"MP-61 Cordless 6W Soldering Iron";"0";"0"
